,count
mean_intensity,2
bottom_right_back_mean,2
bottom_right_front_mean,2
top_right_back_mean,2
top_right_back_std,2
bottom_left_back_mean,2
bottom_left_back_std,2
bottom_right_back_std,2
hippocampus_mean,2
top_left_front_volume_ratio,1
top_right_front_std,1
bottom_right_front_volume_ratio,1
top_right_back_volume_ratio,1
front_to_back_ratio,1
hippocampus_std,1
top_left_back_std,1
hippocampus_to_brain_ratio,1
bottom_left_front_std,1
bottom_left_front_mean,1
top_left_back_mean,1
intensity_75th_percentile,1
top_left_front_mean,1
std_intensity,1
histogram_kurtosis,1
top_right_front_mean,1
interquartile_range,1
volume_non_zero_voxels,1
volume_non_zero_ratio,1
ventricle_mean_intensity,1
top_left_front_volume,1
top_left_front_std,1
top_left_back_volume,0
top_left_back_volume_ratio,0
ventricle_to_brain_ratio,0
ventricle_volume,0
hippocampus_volume,0
min_intensity,0
max_intensity,0
intensity_range,0
bottom_right_back_volume_ratio,0
